source_file,exists,source_type,semantics_area,key_claim_or_setting,relevance,uncertainty
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_campaign\reports\true_moving_geometry_campaign_final_report.md,YES,report,true_geometry_campaign,PASS_MINIMAL; ALLOW_STAGE6_PARAMETER_SWEEP=NO; ALLOW_REAL_HMAX_OUTPUT=NO,establishes branch transition but not real Hmax,minimal campaign only
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_campaign\03_true_moving_ring_smoke\reports\true_moving_ring_smoke_report.md,YES,report,ALE_ring_motion,MovingMesh/PrescribedMeshDisplacement on ring boundaries; not fixed-geometry utr alone,supports intended true-geometry meaning,smoke proof only
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_campaign\05_physical_validity_review\true_vs_fixed_geometry_review.md,YES,report,fixed_vs_true_geometry,"WettedWall utr may remain for contact-line physics, not geometry-motion proof",separates ALE motion proof from wall velocity surrogate,does not validate Hmax
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_diagnostic_displacement_regression\models\T008_D5_20260620_161207.java,YES,java_export,ALE_moving_boundary,ALE dx=YES; ring selection 4/5/6/7=YES; WettedWall utr=YES,direct model export evidence for current diagnostic D5,"export evidence is structural, not physical Hmax validation"
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W0_current_wettedwall.java,YES,java_export,WettedWall_contactline,NavierSlip=YES; contact_angle_pi_over_2=YES; utr_present=YES,documents contactline settings in current wetted-wall control branch,physical acceptance remains unresolved
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\reports\wettedwall_contactline_controls_report.md,YES,report,WettedWall_contactline,Clear physical WettedWall cases=[]; no-WettedWall diagnostic clear=False,negative/uncertain contactline semantics evidence,requires future bounded repair or acceptance criteria
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_diagnostic_displacement_regression\reports\T007_A_d0_d1_d2_semantics.md,YES,report,displacement_ladder,"D0/D1/D2 semantics recovered; dx=[0,-Vring*t]; utr=[0,-Vring,0]",diagnostic motion semantics baseline,Hmax remains non-real
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_diagnostic_displacement_regression\reports\T008_A_ladder_semantics.md,YES,report,displacement_ladder,D3/D4/D5 change only Vring; diagnostic-only; HMAX_IS_REAL_PHYSICAL_OUTPUT=NO,supports bounded displacement consistency,not a parameter sweep or physical Hmax result
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R2_interface_noise_isolation\01_extraction_algorithm_audit\reports\interface_extraction_algorithm_audit.md,YES,report,interface_extraction,H_raw_global is not trusted; M1 excludes contaminating crossings,prevents using raw global height as physical Hmax,M1 remains diagnostic until acceptance controls pass
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_raw_array_extraction_recompute\scripts\T004_raw_array_extraction_recompute.py,YES,script,interface_extraction,memory-safe binned crossing extractor=YES,repaired extraction implementation,"method is postprocessing diagnostic, not yet real-Hmax validation"
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_true_geometry_jet1_diagnostic\scripts\T010_true_geometry_jet1_diagnostic.py,YES,script,ROI_extraction,ROI diagnostic guard=YES; fixed-geometry ROI reused as diagnostic analogue,Jet1/ROI semantics source,current Jet1 branch is negative under T011
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_true_geometry_jet1_diagnostic\reports\T011_A_threshold_source_audit.md,YES,report,ROI_threshold,5C threshold delta > 5e-5 m; true-geometry compatibility is diagnostic only,blocks current Jet1 continuation,not a real-Hmax validation rule
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\README.md,YES,README,project_gates,current true-geometry R3 sections keep Stage 6 and real Hmax closed,repository-level gate summary,"bounded sections summarize, not primary evidence"
