split	frame	time_after_contact_ms	experiment_geometry	parameter_use	L7_geometry	L7_coherent_top_mm	L8_geometry	L8_coherent_top_mm	decision
holdout	335	17.5	shallow_crown_and_open_initial_cavity	none	attached_corrugated_annular_cavity_without_experimental_crown	0.585	smoother_open_depression_without_experimental_crown	0.555	both_fail_shape
holdout	360	30.0	thin_center_column_visible_with_crown	none	broad_sub_mm_center_bump_and_corrugated_attached_walls	0.690	central_depression_and_smooth_attached_cavity	-0.336	both_fail_early_column
target	405	52.5	105.80_mm_thin_near_equal_diameter_jet_with_crown	ring_depth_only	short_broad_center_bump_and_attached_cavity	1.436	short_center_bump_and_smoother_attached_cavity	0.392	both_fail_height_and_shape
holdout	430	65.0	persistent_thin_slightly_curved_first_jet_with_open_cavity	none	broad_flat_pedestal_and_attached_cavity_walls	3.691	not_run	NA	L7_fails_column_shape
holdout	455	77.5	thin_first_jet_persists_while_cavity_tapers	none	broad_pedestal_and_corrugated_cavity_without_single_neck	6.282	not_run	NA	L7_fails_jet_and_cavity_shape
target	492	96.0	closed_hourglass_air_shape_while_first_jet_persists	empirical_depth_trigger	broad_pedestal_with_paired_corrugated_walls_reaching_ring	10.299	not_run	NA	timing_not_predictive_and_shape_fails
holdout	520	110.0	ring_separated_from_air_cavity_and_surface_near_flat	none	broad_center_pedestal_with_deep_fragmented_cavity_trails	12.210	not_run	NA	L7_fails_post_closure_topology
holdout	550	125.0	thin_later_center_rise_on_nearly_flat_surface	none	broad_pedestal_with_fragmented_shoulders_and_outer_humps	14.403	not_run	NA	L7_fails_later_jet_shape
target	587	143.5	prominent_secondary_center_jet	chronology_only	short_broad_center_rise_with_fragmented_shoulders	16.714	not_run	NA	L7_fails_prominence_and_shape
holdout	620	160.0	tall_narrow_later_jet_on_mostly_flat_surface	none	short_broad_pedestal_with_shoulders	17.188	not_run	NA	L7_fails_late_holdout
