artifact_path,artifact_type,source_phase,file_size_if_available,created_or_modified_if_available,role,requires_visual_audit,requires_numeric_audit,notes
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\B_repro_micro_displacement_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21420,2026-06-20T11:26:44,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\B_repro_micro_displacement_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21420,2026-06-20T11:31:07,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\B_repro_micro_displacement_repeat_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21441,2026-06-20T11:27:05,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\B_repro_micro_displacement_repeat_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21441,2026-06-20T11:31:26,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C0_zero_displacement_baseline_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21426,2026-06-20T11:27:23,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C0_zero_displacement_baseline_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21426,2026-06-20T11:31:47,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C1_micro_displacement_baseline_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21432,2026-06-20T11:27:43,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C1_micro_displacement_baseline_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21432,2026-06-20T11:32:07,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C2_shorter_time_horizon_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21460,2026-06-20T11:27:57,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C2_shorter_time_horizon_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21460,2026-06-20T11:32:21,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C3_smaller_time_step_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21447,2026-06-20T11:28:20,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C3_smaller_time_step_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21447,2026-06-20T11:32:41,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C4_smooth_displacement_ramp_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21638,2026-06-20T11:28:37,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C4_smooth_displacement_ramp_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21638,2026-06-20T11:33:00,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C5_levelset_eps_2mm_20260620_112539.java,export_java,R3_phase3_diagnostic_repair,21446,2026-06-20T11:28:54,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\exports\C5_levelset_eps_2mm_20260620_113028.java,export_java,R3_phase3_diagnostic_repair,21446,2026-06-20T11:33:16,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\logs\R3_B_minimal_phase3_repro_20260620_112539.log,log_text,R3_phase3_diagnostic_repair,1654,2026-06-20T11:28:54,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\logs\R3_B_minimal_phase3_repro_20260620_113028.log,log_text,R3_phase3_diagnostic_repair,1654,2026-06-20T11:33:16,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\logs\R3_builder_run_metadata_20260620_112539.json,data_json,R3_phase3_diagnostic_repair,703,2026-06-20T11:28:54,structured summary or raw row evidence,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\logs\R3_builder_run_metadata_20260620_113028.json,data_json,R3_phase3_diagnostic_repair,703,2026-06-20T11:33:16,structured summary or raw row evidence,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\B_repro_micro_displacement_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,28437598,2026-06-20T11:26:44,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
